NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,147.94,-14.59,-6.01,-25.2,1450.6,0.0977,-288.538,2.884,10,0,6,0
NaI1,1,8,2,148.44,-11.87,9.88,-25.15,1449.8,0.0977,-266.854,2.82951,10,1,6,1
NaI2,2,8,2,148.24,2.8,15.29,-25.11,1447.6,0.0977,-247.047,2.80389,10,2,6,2
NaI3,3,8,2,148.53,14.49,5.27,-25.19,1446.7,0.0977,-294.618,2.76406,10,3,6,3
NaI4,4,8,2,148.84,11.65,-9.73,-25.1,1445.6,0.0977,-291.415,2.8869,10,4,6,4
NaI5,5,8,2,148.83,-2.45,-15.03,-25.18,1445,0.0977,-182.375,2.11128,10,5,6,5
NaI6,6,8,2,141.89,-10.34,-11.9,-20.1,1447.6,0.0977,-293.585,2.29555,10,6,6,6
NaI7,7,8,2,141.7,-15.75,2.03,-20.11,1451.1,0.0977,-319.879,2.96607,10,7,6,7
NaI8,8,8,2,142.45,-5.15,14.57,-20.11,1445.3,0.0977,-296.601,2.76124,10,8,6,8
NaI9,9,8,2,142.04,10.36,11.8,-20.13,1445.2,0.0977,-229.668,2.83934,10,9,6,9
NaI10,10,8,3,141.69,15.84,-2.12,-20.23,1452.1,0.0977,-441.161,3.47294,10,10,6,10
NaI11,11,8,3,142.29,5.06,-14.71,-20.12,1447.8,0.0977,-315.385,2.99304,10,11,6,11
NaI12,12,8,3,127.7,-15.82,-11.54,-15.14,1445.6,0.0977,-291.119,3.12641,10,12,6,12
NaI13,13,8,3,127.67,-19.32,2.79,-15.07,1451.5,0.0977,-331.284,3.05605,10,13,6,13
NaI14,14,8,3,127.65,-11.66,15.79,-15.14,1446.6,0.0977,-360.368,2.97726,10,14,6,14
NaI15,15,8,3,127.12,2.7,19.7,-15.05,1445,0.0977,-277.482,2.85878,10,15,6,15
NaI16,16,8,3,127.72,15.59,11.79,-15.12,1447.2,0.0977,-283.58,3.08339,10,16,6,16
NaI17,17,8,3,127.73,19.33,-2.82,-15.11,1445.7,0.0977,-246.924,2.98577,10,17,6,17
NaI18,18,8,3,127.65,11.62,-15.79,-15.13,1446.1,0.0977,-253.298,2.98694,10,18,6,18
NaI19,19,8,3,127.27,-2.86,-19.58,-15.06,1446.9,0.0977,-323.808,2.96166,10,19,6,19
NaI20,20,8,4,112.79,-17.33,-17.33,-10.3,1445.1,0.0977,-274.388,3.02961,10,20,6,20
NaI21,21,8,4,112.8,-24.27,-3.71,-10.32,1445.6,0.0977,-338.224,3.12347,10,21,6,21
NaI22,22,8,4,112.84,-21.88,11.16,-10.35,1447.6,0.0977,-362.427,2.91581,10,22,6,22
NaI23,23,8,4,113.05,-11.07,21.8,-10.41,1445.9,0.0977,-254.718,2.86702,10,23,6,23
NaI24,24,8,4,112.83,3.93,24.21,-10.32,1446.8,0.0977,-310.683,2.96934,10,24,6,24
NaI25,25,8,4,112.75,17.51,17.31,-10.32,1447.6,0.0977,-301.184,2.75609,10,25,6,25
NaI26,26,8,4,112.71,24.43,4.08,-10.37,1446.2,0.0977,-305.804,3.05074,10,26,6,26
NaI27,27,8,4,112.54,22.3,-11.04,-10.33,1450,0.0977,-260.926,3.14303,10,27,6,27
NaI28,28,8,4,112.83,11.27,-21.88,-10.36,1448.7,0.0977,-304.207,3.29408,10,28,6,28
NaI29,29,8,4,112.77,-3.91,-24.29,-10.32,1446.7,0.0977,-305.777,3.04652,10,29,6,29
NaI30,30,8,5,102.33,-10.9,-22.07,-5.38,1447.1,0.0977,-357.371,3.13391,10,30,6,30
NaI31,31,8,5,102.34,-21.85,-11.62,-5.41,1451,0.0977,-391.073,3.23523,10,31,6,31
NaI32,32,8,5,102.26,-24.44,3.37,-5.36,1444.1,0.0977,-292.661,3.10534,11,0,6,32
NaI33,33,8,5,102.46,-17.75,17.12,-5.45,1444.4,0.0977,-286.669,3.05761,11,1,6,33
NaI34,34,8,5,102.37,-4.44,24.26,-5.41,1443.4,0.0977,-373.365,3.13647,11,2,6,34
NaI35,35,8,5,102.37,10.63,22.42,-5.44,1444,0.0977,-351.064,3.30205,11,3,6,35
NaI36,36,8,5,102.51,21.71,11.42,-5.44,1443.3,0.0977,-291.735,3.0975,11,4,6,36
NaI37,37,8,5,102.39,24.37,-3.43,-5.41,1448.4,0.0977,-340.082,3.15701,11,5,6,37
NaI38,38,8,5,102.47,17.73,-17.17,-5.46,1445.9,0.0977,-388.312,3.20738,11,6,6,38
NaI39,39,8,5,102.38,4.31,-24.29,-5.41,1445.8,0.0977,-354.895,3.18841,11,7,6,39
NaI40,40,8,6,91.05,-15.64,-25.14,-0.54,1445.6,0.0977,-375.134,3.17691,11,8,6,40
