NAME,Id,FPL,layer,theta,x_pos,y_pos,z_pos,toff,tcal,qped,qcal,adc_geo,adc_ch,tdc_geo,tdc_ch
NaI0,0,8,2,147.94,-14.59,-6.01,-25.2,1052.6,0.0977,67.1252,2.69473,10,0,6,0
NaI1,1,8,2,148.44,-11.87,9.88,-25.15,1051.8,0.0977,-214.363,3.09514,10,1,6,1
NaI2,2,8,2,148.24,2.8,15.29,-25.11,1049.6,0.0977,-269.64,3.69637,10,2,6,2
NaI3,3,8,2,148.53,14.49,5.27,-25.19,1048.7,0.0977,-428.304,3.91438,10,3,6,3
NaI4,4,8,2,148.84,11.65,-9.73,-25.1,1047.6,0.0977,-428.304,3.91438,10,4,6,4
NaI5,5,8,2,148.83,-2.45,-15.03,-25.18,1047,0.0977,-319.055,3.68917,10,5,6,5
NaI6,6,8,2,141.89,-10.34,-11.9,-20.1,1049.6,0.0977,-14.6867,2.81656,10,6,6,6
NaI7,7,8,2,141.7,-15.75,2.03,-20.11,1053.1,0.0977,-9.2787,2.9794,10,7,6,7
NaI8,8,8,2,142.45,-5.15,14.57,-20.11,1047.3,0.0977,-312.449,2.952,10,8,6,8
NaI9,9,8,2,142.04,10.36,11.8,-20.13,1047.2,0.0977,-285.564,3.77434,10,9,6,9
NaI10,10,8,3,141.69,15.84,-2.12,-20.23,1054.1,0.0977,-321.123,3.42089,10,10,6,10
NaI11,11,8,3,142.29,5.06,-14.71,-20.12,1049.8,0.0977,-319.312,3.29837,10,11,6,11
NaI12,12,8,3,127.7,-15.82,-11.54,-15.14,1047.6,0.0977,-281.931,3.06719,10,12,6,12
NaI13,13,8,3,127.67,-19.32,2.79,-15.07,1053.5,0.0977,-324.819,3.41393,10,13,6,13
NaI14,14,8,3,127.65,-11.66,15.79,-15.14,1048.6,0.0977,-359.842,3.04602,10,14,6,14
NaI15,15,8,3,127.12,2.7,19.7,-15.05,1047,0.0977,-268.446,2.78505,10,15,6,15
NaI16,16,8,3,127.72,15.59,11.79,-15.12,1049.2,0.0977,-310.072,3.72113,10,16,6,16
NaI17,17,8,3,127.73,19.33,-2.82,-15.11,1047.7,0.0977,-273.926,3.30728,10,17,6,17
NaI18,18,8,3,127.65,11.62,-15.79,-15.13,1048.1,0.0977,-317.198,3.70801,10,18,6,18
NaI19,19,8,3,127.27,-2.86,-19.58,-15.06,1048.9,0.0977,-347.376,3.32222,10,19,6,19
NaI20,20,8,4,112.79,-17.33,-17.33,-10.3,1047.1,0.0977,-270.21,3.0161,10,20,6,20
NaI21,21,8,4,112.8,-24.27,-3.71,-10.32,1047.6,0.0977,-374.959,3.48916,10,21,6,21
NaI22,22,8,4,112.84,-21.88,11.16,-10.35,1049.6,0.0977,-432.563,3.54556,10,22,6,22
NaI23,23,8,4,113.05,-11.07,21.8,-10.41,1047.9,0.0977,-299.361,3.60951,10,23,6,23
NaI24,24,8,4,112.83,3.93,24.21,-10.32,1048.8,0.0977,-325.798,3.13961,10,24,6,24
NaI25,25,8,4,112.75,17.51,17.31,-10.32,1049.6,0.0977,-378.38,3.6317,10,25,6,25
NaI26,26,8,4,112.71,24.43,4.08,-10.37,1048.2,0.0977,-328.423,3.32331,10,26,6,26
NaI27,27,8,4,112.54,22.3,-11.04,-10.33,1052,0.0977,-301.42,3.66019,10,27,6,27
NaI28,28,8,4,112.83,11.27,-21.88,-10.36,1050.7,0.0977,-313.343,3.39804,10,28,6,28
NaI29,29,8,4,112.77,-3.91,-24.29,-10.32,1048.7,0.0977,-332.27,3.3362,10,29,6,29
NaI30,30,8,5,102.33,-10.9,-22.07,-5.38,1049.1,0.0977,-345.969,3.24471,10,30,6,30
NaI31,31,8,5,102.34,-21.85,-11.62,-5.41,1053,0.0977,-315.833,3.16918,10,31,6,31
NaI32,32,8,5,102.26,-24.44,3.37,-5.36,1046.1,0.0977,-323.363,3.47891,11,0,6,32
NaI33,33,8,5,102.46,-17.75,17.12,-5.45,1046.4,0.0977,-299.33,3.2155,11,1,6,33
NaI34,34,8,5,102.37,-4.44,24.26,-5.41,1045.4,0.0977,-374.669,3.16297,11,2,6,34
NaI35,35,8,5,102.37,10.63,22.42,-5.44,1046,0.0977,-358.679,3.34959,11,3,6,35
NaI36,36,8,5,102.51,21.71,11.42,-5.44,1045.3,0.0977,-324.947,3.47421,11,4,6,36
NaI37,37,8,5,102.39,24.37,-3.43,-5.41,1050.4,0.0977,-362.966,3.45478,11,5,6,37
NaI38,38,8,5,102.47,17.73,-17.17,-5.46,1047.9,0.0977,-422.427,3.51973,11,6,6,38
NaI39,39,8,5,102.38,4.31,-24.29,-5.41,1047.8,0.0977,-375.785,3.40726,11,7,6,39
NaI40,40,8,6,91.05,-15.64,-25.14,-0.54,1047.6,0.0977,-390.514,3.33373,11,8,6,40
NaI41,41,8,6,90.98,-26.1,-13.96,-0.51,1041.6,0.0977,-318.084,4.57114,11,9,6,41
NaI42,42,8,6,91.11,-29.72,0.9,-0.58,1049.2,0.0977,-321.998,3.34609,11,10,6,42
NaI43,43,8,6,91.02,-25.12,15.62,-0.53,1048.4,0.0977,-353.54,3.32707,11,11,6,43
NaI44,44,8,6,91.11,-13.99,26.17,-0.58,1049.3,0.0977,-395.853,3.25912,11,12,6,44
NaI45,45,8,6,91,0.9,29.56,-0.52,1048.4,0.0977,-383.328,3.30183,11,13,6,45
NaI46,46,8,6,91.08,15.49,25.37,-0.56,1051.5,0.0977,-413.111,3.31561,11,14,6,46
NaI47,47,8,6,90.95,26.03,14.01,-0.49,1050.5,0.0977,-314.74,3.26121,11,15,6,47
